Sl. No,Text Review,Sentiment
144,"The hotel was a very beautiful property with lush greenery and especially the lagoons.
I was at a lagoon suite which was indeed a very big and beautiful room.
Now comes the thing.
The staff was not very good . They were unsmiling and were not able to comprehend very well. 
I would recommend taj exotica over the Leela as I stayed there 1 year back and it was a much better property or u can also choose taj fort Aguada if u are travelling with kids.",1
145,"Well there are too many reviews raving about this place and I could be just one more of them, but I would rather point out few points which could make it better for my next visit here.

1. The property is huge and somehwere I felt lost in the lagoon! With so much land to offer I feel there should be few activities thrown in just to break the journey within...if there had been few benches overlooking the lagoon or something else I dnt know. .should be thought about. Many times I felt to sit down but did not have any place to sit.

2. A leisure hotel or resort without hammock is unreal....hello they need to be propped up in key areas without asking for it.

3. A hotel in india should have a jet spray...no one wants a lesson in western culture here ;)

4. Maybe it was off season but I could not see the spirit of holidaying. 

5. Morning tea should be complimentary and meals could be more reasonably priced.

Well just to conclude I appreciate the lagoon which is a living ecosystem and well maintained with fishes, birds, snakes, frogs, tress , shrubs lotus and many other flowering and fruit bearing plants lined up everywhere... nature's delight.
The kids play centre was a blessing, pool is of good size with a hideaway tunnel and the breakfast is amazing.

And the best part my kids enjoyed the stay.

Hope to come back soon !!!",1
146,The hotel was really busy as soon as I arrived with my family. I felt like I wasn't paid enough attention but given the rush I can understand. The front desk were curious and helpful. Food and rooms were good. Overall a very satisfying stay.,1
147,"it was a pricey but good experience. good food,staff,sleep,ambiance,water,people,beer,swimming pool,boys,hash,beaches. PS: Still not out of my trip.wold love to visit again.soon, if they give discount.",1
148,Beautiful property. Very good room and decorative bathroom. The property has variety of trees and plants all over the area. The breakfast was excellent.. This was our first stay at The Leela and had great expectations of the place and I must say we were not dissapointed with it....it was a truly great experience. A must visit hotel in Goa. Will Certainly come back.,1
149,"The property is very good, conveniently located. Rooms are large and very spacious with all modern amenities. Hospitality and welcome was excellent. The spread of breakfast was best and includes everything one could imagine in 5 star restaurant breakfast . The swimming pool and gym were good to have exercise and relax. Cycling within the property was a real fun and good to burn calories. Overall very satisfying experience.",1
150,"Stayed at the Leela for 2 nights for a business meet-up. While the trip was excellent for the most part, I wouldn't go back because there's definitely other properties to choose from which are better than Leela. 

Pros - Loved their traditional welcome with flower garlands and coconut water. The property is old but its got a charm of its own. Each suite comes with a view to a beautiful pond. The food was the best part - buffet spread (all meals) were the perfect balance of Indian, Asian, Western food - and all of it good enough to tantalise your taste buds. Didn't get a chance to visit their spa, but it seemed fairly priced. 

Cons - The wifi they offer can be connected to a certain number of devices at max. I don't appreciate that considering the amount of money one pays to stay there is not cheap. Piece-meal costing for small things always annoys me - particularly when its for essential/basic things like wifi. Another downside, there's no bar within the hotel that stays open until late night. And of-course there's nothing outside of the place.",1
151,"We started with a reservation adjustment for a longer stay which they accommodated fully. We arrived to a full bell service staff helping with our bags etc. We stayed in a Lagoon Suite. Per the Leela website, it is the same room, see room description on their site. Housekeeping was amazing, room cleaned daily and a turn down service also tidied the room before bed. Room service was consistent delivering our orders, very attentive. The property has a kids club and a nanny if needed. A playground and separate kiddy pool. The golf course is 12 hole par, reasonable pricing, putting green which was fun as I was showing up my husband :) It was monsoon season so the beach was not set up with the seasonal restaurant (Nov-May) Beach was patrolled with security, well kept beach, clean, and maintained. Wonderful sunsets. Property was clean and maintained, walkable, but they did offer golf buggies if you needed them. Pool was very relaxing with towel service and a pool bar. Food we had was good but does not compare to Leela Chennai. Standard breakfast buffet served, same with lunch. Staff was very helpful with the baby and his individual needs. Overall it was a very pleasant stay ending with a longing to stay even longer. I recommend and would stay again. Maybe in the Club area for more privacy.",1
152,I must congratulate hotel authority the kind of hotel maintainable in terms of greenery they have made as it is really hard to keep that much of green in best of its state..... Staff was really cooperative and we really enjoyed our stay.... Plenty of small water bodies to take a dip..... Kids can also enjoy in different pools and kid zone..... Food was also Gud and affordable too.... Airport pick up and drop facility was available,1
153,"Everything about this resort is beautiful and lavish.. staff is courteous and it was a pleasure to interact with them.. food is good.. and almost everything about our stay was perfect..
Just don't expect to have a good time at Aqua if you plan to party.. they don't follow the schedule or the theme for the night and even if they did the place was boring (more of a recreational activity room than a lounge)
But if you want to relax and enjoy the calm surrounding this is place you would want to stay at..",1
154,"I have started writing reviews for luxury ones too. I used to avoid talking about those in past.

This is my second visit to this hotel after 8 Years and I can say it has not changed much.

Here is my review:

Location: Located in south Goa around 2 hour drive from Airport crossing villages and road is bit bumpy. If you are thinking to go to other side of Goa for partying it will take you around 3 hours.

Property: It's a big property spread over 70 acre with tropical look and feel. You will enjoy the walks and view for sure.

Rooms: Decent size rooms with option of balcony. The property is so big that few rooms are far away from reception and you have to walk a lot to reach reception/pool/beach.
Bed and bath are nice too.


Food: Food is good though not exceptional.


Staff & Service: Very helpful however you will find a delay in service on busy days/season.

Pool & Beach: A big beautiful pool which is a standard for these kind of properties. Beach is around 200 meters walk from Pool\garden area. I don't think this is a private beach but access to this beach is very close from hotel.

Amenities: Gym, pool for kids, nice restaurants.

Overall this is ideal place for couples and corporate events.",1
155,"We visited The Leela, Goa in September 2016 for 3 nights from 10th to the 13th. 
Plus points:
Fantastic service, with a smile. 
Property is clean and maintained, fit for Gods. 
Food was good, though would have appreciated more variety in fish and beef dishes. 
Staff is courteous, be it the kids play area, the breakfast or lunch staff or house keeping.

Looking forward to our next visit again. ",1
156,The welcome was good. The rooms very small for the price they charge. They need more golf carts to cater in house guests. Their breakfast was simply amazing. Do try the mysore dosa. Kids activity room was fascinating. All in all a one time visit.,1
157,"This is a great hotel with large guest capacity but the greenery and architecture hide it well giving it a feel if a smaller establishment and discreetness and privacy which guests may prefer. Normal rooms overlook lotus pond, and have an independent balcony. It is quite relaxing. Lobby is stunning in the Hampi style with a lot of large stone carvings around the hotel. The hotel is more in the South Indian style and does not represent local architecture. The pool, gym and spa facilities are good. What is great is the vast beach expanse in a very quiet part of Southern Goa.",1
158,"First time to South Goa, the Leela is and Oasis of beauty. The grounds are stunning and the beach is heaven. The hotel rooms are somewhat tired and lack lustre but overcome easily by the lovely facilities the hotel has. We had a serene balcony which looked over to honeymoon island. Depending on how the wind blows you can get the smell from the river which can be quite pungent. The lobby is stunning and welcoming, the staff are attentive but don't always follow through on the Leela reputation of service. Simply it is those who have worked there for years that you see the quality of service. We did the 5 day spa package and it was great value for money and treatments first class. The actual spa area is very lovely but not exceptional as they are limited for space. No where to relax after treatment, like other leading spas, spa staff are mostly from Kerala and are fully trained in fabulous Ayurvedic treatments. Sindhi in the spa has the best smile of anyone I have ever met and her service was perfection. The personal yoga session was also a memorable experience. Be wary that the full board package limits you only to the buffet restaurant, we cancelled after we discovered this as there are so many other nice options in the hotel and outside close by. Breakfast is very hectic and buffet style, the hotel does Happy hours in various places which is nice. Jamavar restaurant was our favourite, exceptional service from Joaquin who has worked at the hotel for 25 years. Food was also stunning and the view on the terrace lovely. The suesago restaurant that is seasonal on the beach sadly lacked romance and sparkle but overall was satisfactory. The pool bar is lovely and Protus who works there really makes the difference. There was also lots of large conferences and weddings going on which others may find annoying but added entertainment for us to watch the massive set up on the lawns and beach for fully staged performances and fireworks. Overall I would recommend this resort but don't expect it to be perfection. It's a great Goa beach luxury experience that is a little rustic in parts. Next time we return we may try the club area to see how it differs in experience.",1
159,"This is a lovely hotel set in fabulous landscaped grounds next to a long secluded beach. It is fairly isolated and if you wish to visit central Goa then a taxi trip will cost you in the region of £35. However if you want piece and quiet you will enjoy it here. We arrived just as the season was starting and two privately owned shacks had just opened on the beach close to the hotel. At these you can get relatively cheap, good quality food and drink. The hotel has a number of restaurants and bars all of which are first class, however if you are not on half board it is fairly expensive to eat and buy drink here. (They do have happy hours in some of the hotel bars). Just outside the front gate ( a 2 minute walk away) is The Fisherman's Walk Restaurant which is excellent, very reasonably priced and well worth a visit.
When we arrived I was pleasantly surprised to be given access to complimentary WiFi but many of the other guests were not and were less than pleased with the additional charges. Apparently you get 30 minutes free per day then you have to pay approximately 300 Rs per hour, which for a 5 star hotel is not on. 

However, we really enjoyed our stay as this is a lovely place to chill out for the weary traveller.",1
160,"The Leela Goa is a big property with its own golf course. It's a perfect luxury experience. I had been for a biz conference and everything was properly maintained. The beach is very clean and has a long coastline, ideal for jogging. 
The Fisherman's Wharf, famous for its sea food is located just outside the Leela main gate.
Overall I had a good experience during my stay.",1
161,"The resort is very beautiful, the lakes, all the green areas, everything... and the room is very spacious and well decorated. Everything as you might expect from a high end resort.

The staff was also very friendly and always ready to help us with any request. And the breakfast was amazing.

But honestly we were hoping for a little bit more, specially when we had 85% of the beach ""closed"" due to an event there, and they were still removing the temporary building, with lots of workers there all the time (day and night).

And when the beach was one of the major reasons for us to select this place, it would be ""nice"" if the resort at least tried to compensate us a little bit, maybe with some dinner discount or even offering the wifi. But no, nothing at all.

Finally regarding the prices. We know that when we select a resort in this price range the food and other services there might be a little expensive. But we have already been to several similar places and this one was a little bit over the top, which ended up with us only having 1 dinner there. And if you wonder about doing something special with your loved one there (like a dinner in the beach), you can quickly forget about it, the price just to book the space is ridiculous...",1
162,As expected awesome hospitality. Good food. easy transit to dambolim airport. Much better place than Marriott. If you want to enjoy then you can visit arpora or calangute. a good place to stay with family or colleagues.,1
163,A very awesome hotel with all facilities and service. The hotel is located in a very peaceful area near beach and water bodies. The service and the staff were so nice.They offer variety of food and is tasty also. They have swimming pool also which a added star to hotel.,1
164,Good place n nice restaurant for the people who love to eat a variety of foods. Really the service of the hotel is really good and all the service is very fine. All the service is really good. All the staff of the hotel are very soft and kind spoke person.,1
165,"The location of the hotel is very far away from the airport, as well as the city, so if you just need to relax for some time, this might be a good option. The facilities provided are quite good and expected out of a reputable brand of hotel.
There is a huge spread of breakfast buffet which is sumptious but taste tilts towards continental. even the indian food tastes continental.
They have a clean private beach which is well maintained and they also have bicycles in case you want to explore the resort and also get some physical exercise along with it.

The rooms are well equipped if you are coming for business, and all the needs would be taken care off.

but given a choice between Taj aguada and Leela, i would anytime pick the former, Leela somehow doesn't come across as the ultimate luxury abode in Goa.",1
166,"Visited for 3 days. We are a couple with a 4 years girl and an infant. Stayed in a consortium room which is nice but a bit small for a couple with two kids. Breakfast is good, a la carte menu is great, but buffet is poor. Don't choose full board or half board options. We liked outdoor facilities a lot with a good pool and a great beach. Kids room and playground are fine although small. Overall we enjoyed our stay at this hotel.",1
167,"Had been wanting to stay at Leela since after all it's Leela- got excited and booked ourselves into the property. 
Interesting property- beautiful water bodies all over, lovely view from the room, great food but still not close to Taj when it comes to hospitality. 
The kids loved the activities and the pool (it's definitely No. 1 on their list of properties to go to in Goa), but I must say I missed the personalised greeting smiles and services offered at Taj Excotica and Holiday Village, where I just don't feel like a guest. 
Would recommend it but in case you're looking to feel truly pampered and get that wow feeling of hospitality, I would recommend Taj Exotica",1
168,The hotel is amazing in customer handling. Food is delicious and also we came across some superb friendly customer service. Staying in this hotel is really enjoyable and amazing. Good hygienic rooms and amazing view.,1
169,"This is a very good property in south Goa. We were in Goa for a week and stayed at The Leela for a weekend. The hotel has a private beach with some water sports, however the water sports are not by the hotel but locals. Nothing wrong with it. Food is good. Overall a good 5 star hotel but not giving 5 rating as in hospitality it is not the best. Anyone who has stayed with Taj will feel something lacking in hospitality. For instance we were given reminders over phone and in writing that we are to check out on so n so date. It was just not done. The guest knows the check out date and even if they have to be reminded, it can be handled better.",1
170,Supap restaurant in goa the leela ND near too all destany in Goa good service in good rooms in this hotel low cost and best five star hotel like a Raj mahel facility good pace ND I like most beautiful ND tasty it's hotel food,1
171,"Just finished a week at the Leela in Goa after attending a wedding just north of there. The hotel lobby, grounds, the rooms, the pools and the food were all fantastic. It was a top notch experience. If I had to change a couple of things it would be they seem unnecessarily obsessed with trying to sell you more on something or another. I found this to be annoying and beneath the reputation of the Leela. Only other negative was the wine storage must be a problem - We sent 5 bottles back over the course of our stay. They have some work to do there. Otherwise, the place is really special.",1
172,"The hotel and the surroundings are beautiful. The room was extremely comfortable, balcony over the lake was peaceful and relaxing. Great range of food for breakfast. With us spending 12 days traveling around India the verify of food available was great, and the food we ate in the hotel was excellent. Staff friendly and helpful. Would recommend it but be aware of a few things that disappointed us. We had to pay for wi-fi, I was already paying £250 a night free wi-fi should be available! 
We were disappointed with the trouser policy, you were able to wear shorts in the main dining hall but the Indian restaurant which is part of the hall you had to wear trousers, pointless rule!!!",1
173,"We stayed here for 3 nights and everything (almost) was perfect.
The perfect part
Right from the communication prior to traveling, to the pickup, the check-in etc, everything was flawless. My wife is expecting and they offered us a cake and wine which was really nice. Further, my wife and I were returning to different destination at the end of our stay and due to some delays in my wife's flight, they were nice enough to allow her a slightly late check-in. Most of the staff was very courteous and professional. A special thanks to Ovina who was most gracious in her dealings with us at every step.
We loved the resort which has a beautiful entrance, makes for a lovely walking path (via the spice gardens etc), the beach (the sunset and lazing on the chairs through the afternoon), cycling (30 mins of a complimentary cycle ride each day), the gym, the breakfast spread, the live music every evening in the lobby, the staff, the pool (albeit it was a bit too cold given the weather), the room (we stayed in a lagoon view room which was immaculately designed and had a nice bathroom with a nice large bath tub). The balcony overlooked the lagoon and the view from it was beautiful albeit the balconies of other rooms were visible which made privacy a slight problem but it would be a bit harsh to expect it to not be the case as once you see the lagoon, one can understand that this can't really be helped. The resort was not fully occupied (occupancy rate during our stay would be half per my understanding) which gave us more space than had it been had it been full

The not so perfect part
My only complaint (which seemed to be a sentiment shared by a German couple we met during our stay) and which seemed evident from the sight of the near empty hotel restaurants was the high pricing (especially if one grosses it up for taxes) in the hotel restaurants. it seemed almost prohibitive for me, and I personally thought it to unreasonably high tbh. Further, the all meals or half board plans (which we didn't opt for) has the option of dining only in the main restaurant and does not give an option to try out the other restaurants. This is in contrast to Leela Kovalam, where the all meals plan gave guests an option to try out other restaurants albeit with a set 3 course menu. Eventually, I felt the pricing was counterproductive and forced the guests to eat somewhere else or worse still made made dining inside the hotel seem like a rip-off, neither of which I'm sure the management really aims for. I'm not sure if this will change and in case it doesn't, may I suggest those looking for options outside the hotel to try out Betty's place which is a two minute walk from the main entrance. While it isn't as well known as its neighbouring joint ""Fisherman's wharf"", we found it to be more homely, better value for money and able to provide similar quality of dishes (the steak, and the butter garlic prawns especially)

Overall, I would recommend a stay at this magnificent property to anyone looking for a relaxed retreat into nature combined with luxury. However, I wouldn't recommend dining under current conditions for at least value conscious non-millionaires like yours truly :)",1
174,"I had one of the most memorable breakfast buffet with my husband. We are foodies, and we kept on eating for over an hour. 
We stayed at this lovely property for 2 days after 3 days busy stay in North Goa. We just wanted to relax, hence The Leela, Goa. 
The beach is cream beach, where an entire day can be spent sleeping/reading.",1
175,"We stayed at room 601 from 30-11-16 to 03-12-2016. 

Overall we had a good stay with some aspects of the hotel being good and some being plain average.

To start with the positive aspects the room is awesome. Much better than taj exotica however taj have recently renovated there rooms also. Bathroom was also massive. Wifi was quick and included in our package however I am not sure if this is available without extra charges for everybody. Spa was also excellent. Airport pick and drop off was done very well in a big and comfortable van. Some of the staff like Mantoo at the restaurant and Indirha at the reception were excellent and a asset to the hotel. The beach was good and not crowded although it was not very clean and a stray dog was always around.

The major issues we faced were with the food. We were on the all inclusive food package and this includes all meal in the buffet restaurant. We were bored eating there daily as the majority of the dishes are vegetarian. For seafood there would be one main dish and one starter. The staff did provide us with a few seafood starters. There are good restaurants within walking distance like Fishermans Wharf and we regret being tied up to the package.

Secondly there was a Bajaj event on the first and second day and a wedding event on the third day when we there. Since we were visiting with family in kids it was highly inconvenient at times. The breakfast was very crowded and some times a coffee would have to be requested three or four times before we received it. At times I felt that the hotel was catering more to events than to individual guests.

During checkin we had informed that we need a late check out since our flight was in the late evening. On the second last day we directly received a letter stating that we need to check out at 12pm. At the reception we were told that the hotel was 98% full because of the events. After some repeated request they extended the time first by 30 minutes and than by an hour. On the last day when we went to settle our bill they agreed for check out time of 3:30pm. I am not sure why they created a scenario where this seemed impossible in the first place.

Over and above I would consider this hotel if it works on the flaws since some of the staff work hard to minimize the flaws by certain staff and procedures. Having been to Taj exotica multiple times I would rate the food and service of Taj to be of a higher level than Leela.",1
176,"2 aspects- stay and food. Disappointed with stay after burning 60k for 2 night, where one fine afternoon we were humiliated and embarrassed by the staff that we were non guests at the hotel and we aren't allowed to roam inside premises. How the hell did the staff know we were non guests. Turned out to be a mistaken identity when confronted with the management team, though the damage was enough to raise a question mark on governance and policy of the hotel where they themselves aren't sure of their own guests or visitors. This was highlighted to the GM who was kind enough to send us the bottle of sparkling wine as an apology. Staying in Leela was anyway a second option compared to Taj which unfortunately was booked for the dates when we travelled and only have reinforced our decision not to choose The Leela, where there is a saying- first impression is the last impression. 

Secondly we had taken option of lunch or dinner, where we tried lunch on one day and dinner on the second where the food was very oily and this is something least expected. Breakfast is something we liked.

Maybe i am the unfortunate one who went thru this ordeal.",0
177,"We visit such places to relax and enjoy .. but there was this event to be conducted and for that reason they were doing maintenance work .. polishing the floor, polishing the bridge and the construction work was going all around.. it was so disturbing .. the noise.. due to high alert and international event there was a security.. number of army guards , and other members from the event management committee were roaming around.. in short it was so crowded. 
We were expecting a nice private beach but because of this event and security concerns they limited the beach .. and again there was construction going on . We are very disappointed with this trip. 
Other things like room ..food was up to date .. 
the only thing where i get some quiet time was the kids play room .. 
Other than this was so noisy, crowded and disturbing.
I know this event is important and it is also important to prepare and present ourselves but they must have to inform this at the time of booking because its a costly trip .. 

Thank you.",0
178,"As my experience was bad i will narrate that first

Cons: 
When we entered our room the fruit tray was empty despite our room was handed over to us after 40 min as they were making it and we had to wait in lobby, But thats ok as later they placed it in our room when we went for lunch.
After lunch, when we were having siesta our door bell rang 3 times, finally i had to shout and yell that ""we are sleeping"".
Again the door bell rang after few hours on opening the door two guys standing on the door, one in police kind of a uniform and other a hotel guy giving a letter about checkout timing and asking if we need airport drop despite i had clearly given the details at the time of checkin to the incharge about our airport plan as we had our own car and had told that we will checkout at morning 10 a.m.
After two hours it rang again and there was someone again at the door to place things in room with a security guard. First time i had seen in a hotel where you see two people come on your door. Both of them entered to place it.
Next day in the morning when we wanted to check out, our door got jammed and we could not open it through our room key card, neither the master card with the housekeeper could open it. Finally a metal key was bought to open it this delayed things and we had to wait for 20 min. to get out luggage out.
The pool is very small for a 200 key hotel, other hotels i have stayed in Goa have huge pool where you can get some privacy especially when you are travelling as couple like Park Hyatt and Zuri where I had stayed earlier.
I found the approach of some staff not very polite.
My overall experience was not as i expected from a brand like Leela.


Pros : Breakfast spread was very nice and elaborated.",0
179,"We stayed at this hotel for two nights. Totally disappointed by the service of staff here. Following are the reasons for disappointment:

1. Understaffed: Right from valet to waiters to house keeping, there seems to be a shortage of people serving the guests. I had to wait 20 mins for my car to be brought from parking which was 2 mins away from the lobby. The driver didn't know how to drive an AT and there was ONLY one driver manning the valet counter.
We had to wait another 20 mins for the buggy to pick us up from pool area to drop us to the room in heavy rains. 

2. Attitude of the staff: They all tend to ignore you rather than offer help. While looking for umbrella, three of the staff members saw us but none of them offered help. In fact they themselves were using umbrella when guests had none left in the bucket. The attendant at breakfast asked me to speed up as they were closing down the buffet. Asking this is fine but in the manner they tell you is very cheap and comparable to a 2 star hotel.

3. Breakfast: I have been to many 5 star and 7 star hotels; never have I seen that the chefs are not having assistant to take orders. The dosa counter chef was working alone and had no one to take notes of orders. This was causing delays. Also, some of the counters are so far away from where one gets to sit, it is a task to get the food to table and still have it hot. The idli counter had no chutney and one needs to go to dosa counter to get it. Unbelievable. Again the feeling of this hotel being understaffed is evident when one has to wait forever to get attention of waiters.

4. Buggy service: one has to be lucky to get the buggy to travel back to your room from beach. Almost always it takes more than 30 mins to get one.

5. Baby pool: No shower near the baby pool. One needs to go the main pool for shower even if using the baby pool. How hard it is to have another shower near this pool when you have 78 acres of land?!

6. Reminding you that you have to leave the hotel: Right from check-in, the staff keeps reminding you that the check-out is at noon and that you are leaving on so and so day. I understand that they want to arrange the transport but then why during check-in??! Also, I told them twice that I have my own vechile but they seem to have no co-ordination at all - very poor show for a 5 star hotel (or is it 7 star?!)

The only good thing we found, other than the spacious and comfortable room, is the clean beach and greenery. The beach which is so called private has salesmen all over it. The watchmen seem to have some arrangement with them as they never object the selling. Also, don't be surprised to see dogs on the beach (so much so for the ""private beach"").

A complete no - no for another visit to this hotel....",0
180,"You can find much better Hotel in Lower Prices.
I checked in on 15th June in Conservatory Room with my wife and Son and was welcomed by a LIZARD in the room.
Next morning we planned for swimming but the Pool was DIRTY 
Restaurant is totally mismanaged 
You will be very Lucky to find a table as the sitting is not enough 
Menu is poor 
You can't sit near the Pool or Garden in the evening as lot of Mosquitos are there.
The Property is very beautiful but with this management will not last long.",0
181,"We checked into The Leela after having a great stay at The Taj Vivanta, Fort Aguada and realised vast difference in service. An example, the moment we entered into the restaurant, we were served water without asking but in the leela, we had to plead multiple times, seems that they are under staff and untrained staff. 

The good variety is also not great. Though the property is huge but the finesse and courtesies is completely missing. 

We stayed at the Conservatory Room.

Finally I would never prefer to stay in this property provided they improve their service. 

Thanks.",0
182,"A good hotel managed very poorly. A big thumps down to the staff. The dress they wear, specially in the Restaurant gives you the impression that you are not in a hotel but in a govt. hospital. The restaurant manager is a big liar. He will promise you everything but will not fulfill any. They do not take proper care of the customer belongings. Rates are exorbitantly high but it does not match the service provided. The only thing they take good care of is the payment you are suppose to make. I have vowed not to visit this hotel again even if they are free of cost and will suggest all my friends and acqintances to stay in any of the many other hotels in the list.",0
183,"My wife and I booked at this hotel after some days in north Goa and to celebrate our anniversary. When we arrived everything seemed perfect, but the perfection was quickly dispelled with rather long check-in procedure. Of course the hotel took note of our anniversary (the next day). We made a reservation at the beachside restaurant (the Riverside restaurant was fully booked with a corporate event) and were assured 'something appropriate would be arranged'. 

We asked for a quiet room but we were accommodated near the hotel entrance close to the road. The room décor was rather dark with a slightly damp smell. 

The next evening we dined at the beachside restaurant and no special arrangements had been made. The fish was overpriced. The food in general was rather poor and definitely not 5-star, the breakfast was particularly disappointing and in-line with 3 star hotel. Leela management should take the time to investigate a true 5 star hotel experience such as the Fourseasons. 

On the plus side the hotel staff on the beach were very good, the beach itself is clean and well maintained. 

Rather strangely as we left the hotel and had checked out, the hotel delivered a chocolate cake and champagne - the worst possible timing, it was hot and we were departing for the airport. We gave it back to them. 

Overall an uneven experience and not in line with my previous experiences at the Leela Palace in New Delhi. Would I return - No.",0
184,"Visted this hotel in late January 
First time in Goa 
Where to start 
The room was very nice but that far away from the reception that we had to get a golf buggie to take us back to the room 
The pool was a bit cold and as we thought for that time of year it would have been heated 
Nice gardens but I am not a Gardner ? The sun beds were 30 meters from the sea edge 
In all the hotel was set in a lonesome area which had nothing going on and ever night we were in bed by 11pm
It advertise a disco but it was not open and no other entertainment in there

Very quiet ? Too quiet most people were50 years old and above not suitable for the middle age group",0
185,"The core of a chain runs through its properties - like the hospitality of Taj stands out across its hotels - similarly at one hand the magnamity of the hotels stand out for Leela at one hand , the inconsistency of the service remain the same which means that in a service sector you cannot just thrive by just good infrastructure 

Our stay currently on at Leela goa symbolises just that inconsistency - great room service coupled with a poor concierge !! A five star hotel that cannot manage a good all round service is a disaster to my mind 


Another sad area is the highly transactional nature of the hotel - unaccomodating to the departure times of guests and dealing with the situation by flinging a rate card or ensuring you are told of a high penalty charge on late return of a movie!! I mean just compare this to Taj where a movie is served to your room once you browse it in room not at the lobby and you have a complimentary service of a Coke and popcorn to go with it - costs hardly anything to the hotel but world class service for the consumer !! And Leela goes to the other extreme !!

Probably it does not mean much to Leela to retain guests I guess
Akshay 
stands",0
186,"My husband and I visited India 2 years back...so this review is a little late, however I still remember how excited we were to visit Leela Goa based on the good reviews. But once we checked in and saw our room we were very disappointed. The a/c barely worked and the room while large was sparsely decorated. When we approached the management about our dissappointment, we were itold we are welcome to leave, which we did immediately.",0
187,"The Property is Beautiful with a great looking golf course and almost private white sand beach.....The free transfer from the airport to the hotel took almost 2 hrs. thus we missed our lunch...was it on purpose?... The welcome was good and the check in was quick.... But being a big hotel and the rooms at one end and all the facilities at other we needed buggy which was never free or available... The buffet menu was less than a page and was almost same all the time, no choice.... There was no cleaning or making up of the room for 2 days... Humidity was felt in the room with the smell, no fragrance.... Basic essentials like dental kits and shaving kits were missing... And on and on

All in all a bad experience... A rating of 2 only for the beautiful property and quick check in and check out....",0
188,".. Rooms ok .. Service ok .. in area food could be better ..!!..
Prices a little higher than should be .. beach services not as promised .. generally I would say it could be better, family was not so impressed and frankly I would like to try something else next time will visit Goa ..!!..",0
189,Stayed with family in 2 suites plus 2 rooms. All the rooms had similar challenges . The luxury resort must fix the cooling in their rooms and buggy service. The restaurants need to improve their service . They miss touch of luxury resort.,0
190,"We stayed here from 18-22 feb 2015 with our little less than two yr old baby. 

First 
The property is beautiful and the architects have made the best use of lagoons and landscape. The lobby and the entrance both are well detailed accessorized and look great and so do the rooms!! 
Our view was fantastic with an extra seating area with glass wall (we paid for everything) overlooking the lotus plantation. 

BUT
The big but is the staff and the policies that are a massive turn off. Right from the super quick rooms cleaning jobs with all the dust that remains on the bedroom benches to the curt ways of refusing to be forthcoming for any unusual requests (in our case one was slim milk, I am allergic to whole milk so when asked the room service to get a glass was curtly told that we only have amul taaza ) 
I walked out of the hotel to the a grocery store 100 Mtrs away and got the milk pack

More than just that the whole demeanor of the staff (barring a couple of them) screams ""not welcome"" 
This is the only luxury hotel where I have seen blank faces who look thru you standing behind the reception and the concierge. 
The least you can do is smile!! 


Food 
We mostly ordered room service (average) and once had superb food at their Italian restaurant by the river side

The buffet for breakfast also had average not a leela kind of selection but the buffet at dinner that we tried once was one of the worst meals I have ever had. Right from the selection to the tastes. Everything pathetic. 
This place is perfect for foreigners who are treated a notch up even by the guards who will wish them walking ten feet ahead of you and ignore you completely. 

I don't even want to mention the trouble we had to get some food organized for our baby. 

The hospitality is a huge disappointment and have no idea where this attitude stems from. We are connoisseur club members with leela and gurgaon leela has always been very courteous. And we paid a bomb for this crap!! 

:( ",0
191,"The property is beautifully designed and well maintained. We had our rooms close to the main facilities which is perfect. The rooms are large enough for 2 persons. The food is excellent. Huge selection at the breakfast buffet for both Indian and international guests. The ventilation in the bathroom is insufficient and needs improvement. Nevertheless I would rate these facilities with 5 stars if there were no issues regarding the location of the resort. 

Disappointing is that there is no beach service during the monsoon. However, due to the location of the property next to a large creek to our opinion swimming in the sea is not possible. One should realize that in India effluent water is mostly disposed of without treatment. The sea is heavily polluted with garbage and feces (presumably human excrements). If you like to swim in the sea in India it is recommended to find a resort away from cities and rivers mouths. Note that garbage may not be visible after the monsoon, discharging waste water will continue all year around.",0
192,"Last of the 7 hotels we stayed in and the worst, apart from The Leela in Udaipur which we moved out of after one night....unfortunately not an option here.

Room was a Lagoon suite which was large and comfortable, decor modern and bland.

Breakfast was okay but get there early otherwise there is no service and far too crowded. Did not eat in hotel, did not want to take the risk!

Pool area was noisy and crowded so long trek to the beach but remember to take water from the room as not provided, unlike every other hotel we stayed in. 

Very poor service for a supposed 5 star....did enquire about the club rooms but it appeared that for the considerable extra cost we got high tea (not evening cocktails), breakfast in the room and some free laundry and a car transfer which we did not require.

I haven't covered everything that was annoying but suffice to say I would certainly not stop at any Leelas again.",0
193,"I stayed at this hotel for 2 nights. 

The first night was absolutely amazing from the checkin to the walk on the beach to everything. The staff was absolutely amazing and very very polite and helpful and always haf a smile on their face when attending.

The second night was good and everything was smooth. Though around 4 am in the morning I wad awoken by some rattling noise. I thought nothing of it and went back to sleep then i heard it again. I turned on the lights to inspect and I wad shocked to see a tail of some creature dangling out of the Ac vents. This completely shook me. I called the front desk and they took sometime understandably to reach.


But once again when they
reached they were all polite and helped me move to the other room.

So there it is. I really do not know what to make of this stay. It was good overall but this major incident left a very bad stay in my memory.",0
